prog_code,inst_name,prog_name,cutoff_2022,cutoff_2023,Cluster
1249187,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,BACHELOR OF SCIENCE (AGRIBUSINESS MANAGEMENT),,,"Business, Hospitality & Related"
1249187,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,BACHELOR OF SCIENCE (AGRIBUSINESS MANAGEMENT),,,"Business, Hospitality & Related"
1249187,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,BACHELOR OF SCIENCE (AGRIBUSINESS MANAGEMENT),,,"Business, Hospitality & Related"
1515187,TOM MBOYA UNIVERSITY,"BACHELOR OF SCIENCE (AGRIBUSINESS MANAGEMENT, WITH IT)",16.974,15.864,"Business, Hospitality & Related"
1515187,TOM MBOYA UNIVERSITY,"BACHELOR OF SCIENCE (AGRIBUSINESS MANAGEMENT, WITH IT)",16.974,15.864,"Business, Hospitality & Related"
1061187,KABARAK UNIVERSITY,BACHELOR OF SCIENCE IN AGRIBUSINESS MANGEMENT,16.974,15.864,"General Science, Biological Sciences, Physics, Chemistry & Related"
1080187,CO-OPERATIVE UNIVERSITY OF KENYA,BACHELOR OF SCIENCE (AGRIBUSINESS MANAGEMENT),16.974,15.864,"Business, Hospitality & Related"
1080187,CO-OPERATIVE UNIVERSITY OF KENYA,BACHELOR OF SCIENCE (AGRIBUSINESS MANAGEMENT),16.974,15.864,"Business, Hospitality & Related"
1080187,CO-OPERATIVE UNIVERSITY OF KENYA,BACHELOR OF SCIENCE (AGRIBUSINESS MANAGEMENT),16.974,15.864,"Business, Hospitality & Related"
1080187,CO-OPERATIVE UNIVERSITY OF KENYA,BACHELOR OF SCIENCE (AGRIBUSINESS MANAGEMENT),16.974,15.864,"Business, Hospitality & Related"
1080187,CO-OPERATIVE UNIVERSITY OF KENYA,BACHELOR OF SCIENCE (AGRIBUSINESS MANAGEMENT),16.974,15.864,"Business, Hospitality & Related"
1053235,JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,BACHELOR OF INTERNATIONAL TOURISM MANAGEMENT,24.518,23.39,"Business, Hospitality & Related"
1053293,JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,BACHELOR OF SCIENCE (ANIMAL SCIENCE),22.851,15.864,"General Science, Biological Sciences, Physics, Chemistry & Related"
1053293,JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,BACHELOR OF SCIENCE (ANIMAL SCIENCE),22.851,15.864,"General Science, Biological Sciences, Physics, Chemistry & Related"
1053293,JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,BACHELOR OF SCIENCE (ANIMAL SCIENCE),22.851,15.864,"General Science, Biological Sciences, Physics, Chemistry & Related"
